participant_id	KeyMath_Numeration_Raw	KeyMath_Numeration_ScS	KeyMath_Measurement_Raw	KeyMath_Measurement_ScS	KeyMath_ProblemSolving_Raw	KeyMath_ProblemSolving_ScS
sub-002	27	14	26	14	22	17
sub-003	28	10	23	9	21	12
sub-004	23	11	24	12	20	13
sub-005	41	14	35	14	25	14
sub-006	21	12	19	15	15	13
sub-007	41	17	32	15	24	16
sub-008	47	16	38	16	25	14
sub-009	21	14	18	13	16	15
sub-010	42	16	32	15	23	15
sub-011	33	18	30	17	18	15
sub-012	45	15	30	11	23	12
sub-013	47	16	36	13	26	14
sub-015	25	8	19	7	14	7
sub-016	36	11	32	12	25	14
sub-017	28	13	31	16	21	15
sub-019	42	16	31	14	24	15
sub-020	23	9	26	9	19	11
sub-021	22	11	23	12	17	13
sub-023	43	16	34	14	24	15
sub-024	22	10	25	12	23	16
sub-025	44	16	33	13	26	17
sub-029	18	9	10	6	8	6
sub-030	31	11	25	10	22	12
sub-031	39	14	34	14	25	16
sub-034	28	13	22	12	21	15
sub-035	26	10	24	11	21	12
sub-036	25	12	22	12	20	14
sub-038	49	19	39	16	27	19
sub-039	19	5	16	5	21	9
sub-040	29	9	25	9	20	9
sub-041	21	12	24	14	19	15
sub-043	41	12	36	13	22	10
sub-044	38	13	34	14	21	11
sub-045	25	11	26	13	17	12
sub-047	38	15	32	15	23	15
sub-048	43	17	33	15	23	15
sub-049	44	17	37	17	25	16
sub-052	14	4	12	4	18	8
sub-054	42	12	33	11	20	8
sub-055	15	5	10	4	15	8
sub-056	20	9	21	10	17	11
sub-057	19	9	12	7	12	9
sub-059	26	8	31	11	21	9
sub-060	26	11	30	14	23	15
sub-061	42	16	36	16	24	14
sub-062	44	14	37	15	24	12
sub-063	23	9	29	13	22	13
sub-064	23	12	35	18	22	17
sub-066	14	7	12	8	8	7
sub-067	27	8	20	6	22	10
sub-070	36	11	23	8	22	11
sub-071	19	12	15	10	16	14
sub-073	18	9	14	8	16	12
sub-075	26	8	21	7	20	8
sub-078	15	5	17	7	14	7
sub-080	14	6	15	9	10	8
